电影名,国家,导演及主演,年份,评分,引言,链接,类型
波西米亚狂想曲,英国 美国,导演:布莱恩·辛格BryanSinger   主演:拉米·马雷克RamiMalek/本·哈...,                            2018,8.6,,https://movie.douban.com/subject/5300054/,剧情传记同性音乐
虎口脱险,法国 英国,导演:杰拉尔·乌里GérardOury   主演:路易·德·菲耐斯LouisdeFunès...,                            1966,8.9,永远看不腻的喜剧。,https://movie.douban.com/subject/1296909/,喜剧战争
青蛇,中国,导演:徐克HarkTsui   主演:张曼玉MaggieCheung/王祖贤JoeyWang/...,                            1993,8.6,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,https://movie.douban.com/subject/1303394/,剧情爱情奇幻古装
终结者2：审判日,美国 法国,导演:詹姆斯·卡梅隆JamesCameron   主演:阿诺·施瓦辛格ArnoldSchwarz...,                            1991,8.8,少见的超越首部的续集，动作片中的经典。,https://movie.douban.com/subject/1291844/,动作科幻
罗生门,日本,导演:黑泽明AkiraKurosawa   主演:三船敏郎ToshirôMifune/京町子...,                            1950,8.8,人生的N种可能性。,https://movie.douban.com/subject/1291879/,剧情犯罪悬疑
疯狂的麦克斯4：狂暴之路,澳大利亚 美国,导演:乔治·米勒GeorgeMiller   主演:汤姆·哈迪TomHardy/查理兹·塞...,                            2015,8.7,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,https://movie.douban.com/subject/3592854/,动作科幻冒险
萤火虫之墓,日本,导演:高畑勋IsaoTakahata   主演:辰己努/白石绫乃/志乃原良子,                            1988,8.7,幸福是生生不息，却难以触及的远。 ,https://movie.douban.com/subject/1293318/,动画剧情战争
新龙门客栈,中国,导演:李惠民RaymondLee   主演:张曼玉MaggieCheung/林青霞Brigitte...,                            1992,8.7,嬉笑怒骂，调风动月。,https://movie.douban.com/subject/1292287/,动作爱情武侠古装
千钧一发,美国,导演:安德鲁·尼科尔AndrewNiccol   主演:伊桑·霍克EthanHawke/乌玛...,                            1997,8.8,一部能引人思考的科幻励志片。,https://movie.douban.com/subject/1300117/,剧情科幻惊悚
崖上的波妞,日本,导演:宫崎骏HayaoMiyazaki   主演:奈良柚莉爱YuriaNara/土井洋辉Hir...,                            2008,8.6,,https://movie.douban.com/subject/1959877/,动画奇幻冒险
无耻混蛋,德国 美国,导演:昆汀·塔伦蒂诺QuentinTarantino   主演:布拉德·皮特BradPitt/...,                            2009,8.6,昆汀同学越来越变态了，比北野武还杜琪峰。,https://movie.douban.com/subject/1438652/,剧情犯罪
末路狂花,美国 英国 法国,导演:雷德利·斯科特RidleyScott   主演:吉娜·戴维斯GeenaDavis/苏...,                            1991,8.9,没有了退路，只好飞向自由。,https://movie.douban.com/subject/1291992/,犯罪剧情惊悚
奇迹男孩,中国,导演:斯蒂芬·卓博斯基StephenChbosky   主演:雅各布·特伦布莱JacobTr...,                            2017,8.6,世界不完美，爱会有奇迹。,https://movie.douban.com/subject/26787574/,剧情儿童家庭
彗星来的那一夜,美国 英国,导演:詹姆斯·沃德·布柯特JamesWardByrkit   主演:艾米丽·芭尔多尼Em...,                            2013,8.6,小成本大魅力。,https://movie.douban.com/subject/25807345/,科幻悬疑惊悚
二十二,中国,导演:郭柯KeGuo   主演:,                            2015,8.7,有一些东西不应该被遗忘。,https://movie.douban.com/subject/26430107/,纪录片
黑客帝国2：重装上阵,美国,导演:拉娜·沃卓斯基LanaWachowski/莉莉·沃卓斯基LillyWachowski   ...,                            2003,8.7,一个精彩的世界观正在缓缓建立。,https://movie.douban.com/subject/1304141/,动作科幻
花束般的恋爱,日本,导演:土井裕泰NobuhiroDoi   主演:菅田将晖MasakiSuda/有村架纯Kasu...,                            2021,8.6,,https://movie.douban.com/subject/34874432/,剧情爱情
爱乐之城,美国,导演:达米恩·查泽雷DamienChazelle   主演:瑞恩·高斯林RyanGosling/...,                            2016,8.4,,https://movie.douban.com/subject/25934014/,剧情爱情歌舞
血钻,美国 德国 英国,导演:爱德华·兹威克EdwardZwick   主演:莱昂纳多·迪卡普里奥Leonardo...,                            2006,8.7,每个美丽事物背后都是滴血的现实。,https://movie.douban.com/subject/1428175/,剧情惊悚冒险
房间,爱尔兰 加拿大 英国 美国,导演:伦尼·阿伯拉罕森LennyAbrahamson   主演:布丽·拉尔森BrieLarson...,                            2015,8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,https://movie.douban.com/subject/25724855/,剧情家庭
战争之王,法国 德国 美国,导演:安德鲁·尼科尔AndrewNiccol   主演:尼古拉斯·凯奇NicolasCage/...,                            2005,8.7,做一颗让别人需要你的棋子。,https://movie.douban.com/subject/1419936/,剧情犯罪
步履不停,日本,导演:是枝裕和HirokazuKoreeda   主演:阿部宽HiroshiAbe/夏川结衣Yu...,                            2008,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,https://movie.douban.com/subject/2222996/,剧情家庭
魂断蓝桥,美国,导演:茂文·勒鲁瓦MervynLeRoy   主演:费雯·丽VivienLeigh/罗伯特·...,                            1940,8.8,中国式内在的美国电影。,https://movie.douban.com/subject/1293964/,剧情爱情战争
芙蓉镇,中国,导演:谢晋JinXie   主演:刘晓庆XiaoqingLiu/姜文WenJiang/郑在石...,                            1987,9.3,,https://movie.douban.com/subject/1297880/,剧情爱情
火星救援,英国 美国 匈牙利 约旦,导演:雷德利·斯科特RidleyScott   主演:马特·达蒙MattDamon/杰西卡...,                            2015,8.5,,https://movie.douban.com/subject/25864085/,剧情科幻冒险
